Publisher Code,Month,Year,Title,Book Code,Customer,Address,Account number,Account type,Backorder,Invoice number,Quantity,Source Code,Discount %,Net $ for item
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BORDERS INC/WHOLESALE","ANN ARBOR MI","11001","RC","","C213170",-1,"","50.00",-7.47
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BORDERS INC/WHOLESALE","ANN ARBOR MI","11001","RC","","C213170",-1,"","50.00",-7.47
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BORDERS INC/WHOLESALE","ANN ARBOR MI","11001","RC","","C213170",-1,"","50.00",-7.47
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BORDERS INC/WHOLESALE","ANN ARBOR MI","11001","RC","","C214034",-1,"","50.00",-7.47
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BORDERS INC/WHOLESALE","ANN ARBOR MI","11001","RC","","C214034",-2,"","50.00",-14.95
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BRODART","WILLIAMSPORT PA","11638","WL","","C213879",-1,"","50.00",-7.47
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BARNES & NOBLE #2332","PHILADELPHIA PA","B2332","RC","B","2042176",1,"","48.00",7.77
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BARNES & NOBLE #2389","BOSTON MA","B2389","RU","B","2040630",1,"","48.00",7.77
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BARNES & NOBLE #2492","DETROIT MI","B2492","RC","","C213687",-1,"","48.00",-7.77
"WDS","DEC","2003","URBAN BIKERS' TRICKS & TIPS","URBI","BAKER & TAYLOR CO","RENO NV","BTREN","WT","B","2043990",5,"","50.00",37.37
